championonyxe,Infinity
kingarani,10
champinnah,Infinity
gymtrnrnight,0
frontierleaf,13
frontierbm,2
gymldrarthur,9
gymldrsjado,2
gymldrcore,11
pokemanguysteve,1
gymldrmaiya,5
frontierabadon,3
gymldrkrenon,3
powerfable,2
erice,2
frontieryousef,1
gymldrpeeta,4
frontiervader,36
gymldrfloatzel,6
frontierascher,20
frontierryu,3
e4toast,13
e4jeratt,98
nightanglet,7
gymldrphantoms,3
e4berry,21
gymldrvanilla,0
frontierheadbart,10010036
ncrypt,6
thezorousa,2
boo118,5
gymldrjust,1
elitefoukaiser,5
e4lynne,10
sube4bighug,0
elitefoubalto,0
gymldrmeme,25
seprix,1
overlordninjarisu,28.011
nog,1
leobrannstrom,4
frontierfloatzel,8.2
championonyxeaway,Infinity
gymtrnrboogie,0
wintersky,0
pkmntrainersurv,1
itssexytime,1e-13
kungkaleb,3
e4hax,0
gymleadertsg1,5
appletree64,4
gymldrbighug,1
gagahina,0
gymtrnrzorousa,7
matt99,1
guard66,1
gymldrmatt99,4
cueharak808,0
giann,48
ejade,0
asdfleague,0

frontiervaderaway,3
gymldrgary,1
sadisticsarcasm,0
lopichigo,0
datslapzme,37
overlordninjarisuaway,3
gymtrnrdude,0
akashpaul,2
lucario219,0
gymtrnrsrewop,1.9001
gymtrnrjolt,0
coolsylveon,7
gymtrnrfrostie,1
e4subvanilla,0
gymtrnrvale,0
gymtrnrartist,0
lopdarkytranky,0
